ID,Business Name,Trade Name,Sidewalk Cafe Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Lic Area Sq Ft
796,103 GW12 LLC,MONUMENT LANE,Unenclosed Sidewalk Cafe,1420085,"103 GREENWICH AVE, NEW YORK, NY 10014",103,GREENWICH AVE,NEW YORK,NY,10014,Manhattan,,(212) 255-0155,180
953,106 AMSTERDAM REST. CORP,THE ELLINGTON INN,Unenclosed Sidewalk Cafe,1458660,"936 AMSTERDAM AVENUE, NEW YORK, NY 10025",936,AMSTERDAM AVENUE,NEW YORK,NY,10025,Manhattan,,(917) 680-5280,560
683,109 WEST BROADWAY FOOD & WINE LLC,109 WEST BROADWAY,Enclosed Sidewalk Cafe,1377538,"109 W BROADWAY, NEW YORK, NY 10013",109,W BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 513-1988,515
144,"10TH AVENUE GROUP,INC.",44&X-HELLS KITCHEN,Unenclosed Sidewalk Cafe,1071297,"622 10 AVE, NEW YORK, NY 10036",622,10 AVE,NEW YORK,NY,10036,Manhattan,,(212) 977-1170,542
995,1111 AVE K INC,CAFE K,Enclosed Sidewalk Cafe,1467744,"1111 AVE K, BROOKLYN, NY 11230",1111,AVE K,BROOKLYN,NY,11230,Brooklyn,,(718) 677-3125,243
105,112 FRENCH INC,LE MONDE,Unenclosed Sidewalk Cafe,1001063,"2883 BROADWAY, NEW YORK, NY 10025",2883,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 531-3939,741
352,114 KENMARE ASSOCIATES LLC,LA ESQUINA,Unenclosed Sidewalk Cafe,1227042,"114 KENMARE ST, NEW YORK, NY 10012",114,KENMARE ST,NEW YORK,NY,10012,Manhattan,,(646) 613-7100,337
862,117 W. ENT CORP,ANGELO'S PIZZERIA,Unenclosed Sidewalk Cafe,1429757,"117 W 57TH ST, NEW YORK, NY 10019",117,W 57TH ST,NEW YORK,NY,10019,Manhattan,,(212) 333-1333,91
103,"119 7TH AVEUNE CAFETERIA, LLC",CAFETERIA,Unenclosed Sidewalk Cafe,1000225,"119 7 AVE, NEW YORK, NY 10011",119,7 AVE,NEW YORK,NY,10011,Manhattan,,(212) 414-1717,470
817,"11 CARMINE TACOS, LLC",DOS TOROS TAQUERIA,Unenclosed Sidewalk Cafe,1422296,"11 CARMINE ST, NEW YORK, NY 10014",11,CARMINE ST,NEW YORK,NY,10014,Manhattan,,(212) 627-2051,104
